Стрим;Арх. Компонент;Название оригинальное;Название;Контекст;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоемкости;Кто может заполнить;Вопросы;Справочник
ИД. Внешний;Арх.Компонент.Система источник;Подготовка приложения к договору;;Этап 216;Опциональная;0,7;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Доработка внутренней документации и инфрмационных ресурсов группы;;Этап 216;Опциональная;0,8;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;;Этап 217;Опциональная;0,9;Тип источника (внешний);;;"Состав работ добавляется по заполнению поля ""Источник для"" для арх.компонента процесс обработки данных";
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Планирование и работа с бэклогом;;Этап 217;Опциональная;1,1;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Сбор и анализ требований;;Этап 217;Опциональная;1,2;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Оперативное обеспечение юридического основания или инициация этапа;;Этап 217;Опциональная;0,6;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Составление модели данных s2t;;Этап 217;Опциональная;1,2;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Составление ТР;;Этап 217;Опциональная;1,5;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Подготовка АЗ для заключения NDA, согласование содержания NDA;;Этап 217;Опциональная;0,6;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Согласование интеграции с ИБ и ЮБ;;Этап 217;Опциональная;0,6;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Согласование АР, участие в Тестировании и ПСИ;;Этап 217;Опциональная;0,9;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Процессы Обработки данных;Доработка внутренней документации и инфрмационных ресурсов группы;;Этап 217;Опциональная;0,9;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Объект данных;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;;Этап 218;Опциональная;0,7;Тип источника (внешний);;;"Этап 218 нужен только для написания БТ?
Нужен ли отдельный параметр необходимость БТ для витрины? ";
ИД. Внешний;Арх.Компонент.Объект данных;Планирование и работа с бэклогом;;Этап 218;Опциональная;1,1;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Объект данных;Сбор и анализ требований;;Этап 218;Опциональная;1,1;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Объект данных;Составление модели данных s2t;;Этап 218;Опциональная;1,2;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Объект данных;Составление БТ;;Этап 218;Опциональная;1,3;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Объект данных;Согласование артефактов Озера данных, участие в Тестировании и ПСИ;;Этап 218;Опциональная;0,7;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Объект данных;Доработка внутренней документации и инфрмационных ресурсов группы;;Этап 218;Опциональная;0,9;Тип источника (внешний);;;;
ИД. Внешний;Источники данных?;Сбор и анализ требований по изменениям;;Этап 219;Опциональная;2;"Не понятно условие появления работ
Тип источника (внешний)";;;;
ИД. Внешний;Источники данных?;Системный анализ;;Этап 219;Опциональная;3,8;Тип источника (внешний);;;;
ИД. Внешний;Источники данных?;Изучение регламентов Банка по ведению редактируемого раздела/ов;;Этап 219;Опциональная;0,8;Тип источника (внешний);;;;
ИД. Внешний;Источники данных?;Редактирование артефакта;;Этап 219;Опциональная;4,4;Тип источника (внешний);;;;
ИД. Внешний;Источники данных?;Согласование артефакта;;Этап 219;Опциональная;0,8;Тип источника (внешний);;;;
ИД. Внешний;;Планирование и работа с бэклогом;;Этап 220;Опциональная;0,7;Тип источника (внешний);;;;
ИД. Внешний;;Согласование и корректировка входящих требований;;Этап 220;Опциональная;0,8;Тип источника (внешний);;;;
ИД. Внешний;;Согласование и проверка модели данных s2t;;Этап 220;Опциональная;0,5;Тип источника (внешний);;;;
ИД. Внешний;;Работа над артефактом АР;;Этап 220;Опциональная;2,3;Тип источника (внешний);;;;
ИД. Внешний;;Работа над артефактами ТПиС, ПМИ;;Этап 220;Опциональная;1;Тип источника (внешний);;;;
ИД. Внешний;;Работы по разворачиванию и настройке новой инфраструктуры;;Этап 220;Опциональная;1,7;Тип источника (внешний);;;;
ИД. Внешний;;Согласование артефактов и заведение заявок на доступы;;Этап 220;Опциональная;1;Тип источника (внешний);;;;
ИД. Внешний;;Разработка Решения;;Этап 220;Опциональная;6;Тип источника (внешний);;;;
ИД. Внешний;;Тестирование и отладка Решения;;Этап 220;Опциональная;1,5;Тип источника (внешний);;;;
ИД. Внешний;;Проведение ИФТ Решения;;Этап 220;Опциональная;0,8;Тип источника (внешний);;;;
ИД. Внешний;;Проведение Тестирования Решения и ПСИ;;Этап 220;Опциональная;1;Тип источника (внешний);;;;
ИД. Внешний;;Вывод Решения в Промышленную эксплуатацию;;Этап 220;Опциональная;0,4;Тип источника (внешний);;;;
ИД. Внешний;;Доработка внутренней документации и инфрмационных ресурсов группы;;Этап 220;Опциональная;0,4;Тип источника (внешний);;;;
ИД. Внешний;;Планирование и работа с бэклогом;;Этап 230;Опциональная;0,4;Тип источника (внешний);;;;
ИД. Внешний;;Постановка источника на мониторинг;;Этап 230;Опциональная;3,9;Тип источника (внешний);;;;
ИД. Внешний;;Доработка внутренней документации и инфрмационных ресурсов группы;;Этап 230;Опциональная;0,3;Тип источника (внешний);;;;
Контроль моделей;Арх.Компонент. Модельный сервис;Качество модельных данных [КД];Реализация проверок качества модельных данных ;;Опциональная;Да;Вид контроля: КД;Определение необходимости промышленной реализации, Выбор класса моделей;;;
Контроль моделей;Арх.Компонент. Модельный сервис;Технический контроль [ТМ];Реализация технического контроля;;Опциональная;Да;Вид контроля: ТМ;Определение необходимости промышленной реализации, Выбор класса моделей;;;
Контроль моделей;Арх.Компонент. Модельный сервис;Оперативный контроль [ОК];Реализация оперативного контроля;;Опциональная;Да;Вид контроля: ОК;"Определение необходимости промышленной реализации, Выбор класса моделей
Тип работ, ПВР/Регуляторный, Роль модели, Новый вид контроля, Применение модельного сервиса в разных контурах (region и inno.local), Разнородность пользовательских сценариев применения модельного сервиса, Требуется проработка структуры логов, Требуется контроль для каждой модели сервиса в отдельности";;;
Контроль моделей;Арх.Компонент. Модельный сервис;Аналитический контроль [АК];Реализация аналитического контроля;;Опциональная;Да;Вид контроля: АК;"Определение необходимости промышленной реализации, Выбор класса моделей
Тип работ, ПВР/Регуляторный, Роль модели, Новый вид контроля, Применение модельного сервиса в разных контурах (region и inno.local), Разнородность пользовательских сценариев применения модельного сервиса, Требуется проработка структуры логов, Требуется контроль для каждой модели сервиса в отдельности";;;
Контроль моделей;Арх.Компонент. Модельный сервис;Контроль модельных значений [КМЗ];Реализация контроля модельных значений;;Опциональная;Да;Вид контроля: КМЗ;"Определение необходимости промышленной реализации, Выбор класса моделей
Тип работ, ПВР/Регуляторный, Роль модели, Новый вид контроля, Применение модельного сервиса в разных контурах (region и inno.local), Разнородность пользовательских сценариев применения модельного сервиса, Требуется проработка структуры логов, Требуется контроль для каждой модели сервиса в отдельности";;;
Контроль моделей;Арх.Компонент. Модельный сервис;Оценка влияния моделей [ОВ];Оценка влияния моделей;;Опциональная;Да;Вид контроля: ОВ;Определение необходимости промышленной реализации, Выбор класса моделей;;;
Контроль моделей;;Разработка интеграционного решения;Разработка интеграционного решения;;Опциональная;Да;?;Количество интеграционных решений, Тип источника, Необходимость подготовки документов;;;
