Стрим;Блок;Раздел;Тип;Название оригинальное;Название в смарт-анкете СУМ;Контекст;Справочник;Значения коэффициентов
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Введение санкционных мер и других ограничений;Введение санкционных мер и других ограничений;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Недостаток или отсутствие контрольных процедур;Недостаток или отсутствие контрольных процедур;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Изменение регуляторных требований;Изменение регуляторных требований;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Неиспользование ИС после завершения проекта;Неиспользование ИС после завершения проекта;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Изменение целевой ИТ архитектуры Банка;Изменения целевой ИТ архитектуры Банка;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Детальная информация;Арх. Компонент. Объект данных;Ручной;Наличие готовых пром витрин;Наличие готовых промышленных витрин (Необходима продуктивизация);все этапы (триггер 02/04);Да / Нет;"Да→0.5; Нет→1"
Модельный стрим;Общая информация;Параметры;Ручной;Количество оцениваемых инициатив;Количество оцениваемых инициатив;этапы 02/04/07;Целое 1–99. По умолчанию 1;"Делитель итога работ этапа (не множитель):
1→÷1 (без деления); 2→÷2; 3→÷3; 4→÷4; 5→÷5; 6→÷6; 7→÷7; 8→÷8; 9→÷9; 10→÷10; … до ÷99. По умолчанию 1; при ≤1 деление не выполняется"
Модельный стрим;Детальная информация;Арх. Компонент. Система-источник;Вычисляемый;Количество источников для проработки;Отсутствует;этап 02;;"Кол-во источников для проработки:
1→1; 2→1.2; 3→1.4; 4→1.6; 5→1.8; 6→2; 7→2.2; 8→2.4; 9→2.6; 10→3. По умолчанию 1"
Модельный стрим;Общая информация;Арх. компонент. Модельный сервис;Ручной;Необходимость реализации пилотной модели;Необходимость пилота (MVP);триггер этапа 05А;;"Параметр-триггер (не множитель): «Не требуется»→0 (работы этапа 05А (пилот/MVP) исключаются); выбрано значение→1 (этап включается)"
Модельный стрим;Детальная информация;Арх. Компонент. Модель;Ручной;Тип алгоритма (11.1);Сложность алгоритма / тип ML задачи;этапы 05А/05/09;Типы ML задач: Табличные данные (×0.75) / Текстовая аналитика — Классические модели (×1.25) / Текстовая аналитика — LLM (×1.4) / Аудио аналитика (×1.6) / Компьютерное зрение — CV (×1.8) / Оптимизационная задача (×2.5) / Гео-аналитика (×3.0) / Графовая аналитика (×3.5);"Тип ML-задачи → K:
Табличные данные→0.75; Текстовая аналитика — Классические модели→1.25; Текстовая аналитика — LLM→1.4; Аудио аналитика→1.6; Компьютерное зрение (CV)→1.8; Оптимизационная задача→2.5; Гео-аналитика→3.0; Графовая аналитика→3.5.
Для каскадов/ансамблей — сумма коэффициентов по выбранным типам"
Модельный стрим;Общая информация;Арх. Компонетнт. Модельный сервис;Ручной;Необходимость поддержки проведения пилота;Необходимость поддержки проведения пилота;триггер этапа 05B;;"Параметр-триггер (не множитель): «Не требуется»→0 (работы этапа 05B (пилотирование) исключаются); выбрано значение→1 (этап включается)"
Модельный стрим;Детальная информация;Арх. Компонент. Модель;Ручной;Необходимость AutoML;Необходимость AutoML;триггер AML Разработка/Внедрение;;"Параметр-триггер (не множитель): «Не требуется»→0 (работы этапов AutoML (разработка/внедрение) исключаются); выбрано значение→1 (этап включается)"
Модельный стрим;Общая информация;Параметры;Ручной;Необходимость продуктивизации и количество дополнительных витрин;Необходимость продуктивизации и количество дополнительных витрин;триггер этапа 07;«Не требуется» или целое 1–99;"Не требуется→0; далее K = 1 + (N−1)×0.75:
1→1; 2→1.75; 3→2.5; 4→3.25; 5→4; 6→4.75; 7→5.5; 8→6.25; 9→7; 10→7.75; далее по формуле"
Модельный стрим;Общая информация;Арх. Компонетнт. Модельный сервис;Ручной;Необходимость продуктивизации и каналы внедрения моделей;Каналы внедрения;триггер этапа 09;Каналы внедрения: Не требуется (×0) / Батч (×0.5) / Батч+загрузка данных потребителю (×0.75) / Батч+Онлайн (×1.2) / Онлайн (×1.0) / Онлайн GPU (×1.25) / Стриминг (×1.5) / Мобильные устройства (×1.75) / LLM (×2.0) / Гео-сервисы (×2.25) / Внедрение в облаке (×2.5) / Графовая платформа (×3.0);"Канал внедрения → K:
Не требуется→0; Батч→0.5; Батч+загрузка данных потребителю→0.75; Батч+Онлайн→1.2; Онлайн→1.0; Онлайн GPU→1.25; Стриминг→1.5; Мобильные устройства→1.75; LLM→2.0; Гео-сервисы→2.25; Внедрение в облаке→2.5; Графовая платформа→3.0.
Несколько каналов — сумма коэффициентов"
