Стрим;Арх. Компонент;Название в смарт-анкете СУМ;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоёмкости;Коэффициенты параметров трудоёмкости;Формула;Результат выбора
Источники данных;Арх. Компонент. Система-источник;Этап 215. Сбор и анализ требований;Опциональная;0,9;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных
3. Требуется хэширование/ шифрование
4. Режим обмена данными";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Режим обмена данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Подготовка АЗ для заключения NDA, согласование содержания NDA;Опциональная;0,6;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. NDA
3. Наличие конфиденциальных данных
4. Режим обмена данными";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [NDA] × [Наличие конфиденциальных данных] × [Режим обмена данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Согласование пилота / разовой загрузки с ИБ и ЮБ;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных
3. Режим обмена данными";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных] × [Режим обмена данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Оперативное обеспечение юридического основания или инициация этапа;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие юридического основания для пилота
3. Наличие конфиденциальных данных
4. Требуется хэширование/ шифрование
5. Режим обмена данными";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие юридического основания для пилота: Да→0; Нет→1.25; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие юридического основания для пилота] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Режим обмена данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Организация и контроль проведения пилота / разовой загрузки;Опциональная;1,6;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,6 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Прием и анализ результатов пилота / разовой загрузки;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Подготовка Отчета о проведении пилота / разовой загрузки и согласование результата;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Доработка внутренней документации и информационных ресурсов группы;Опциональная;0,8;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,8 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Опциональная;0,7;Тип системы-источника (внешний);1. Предусмотрено проведение конкурса;"— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Предусмотрено проведение конкурса]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Планирование и работа с бэклогом;Опциональная;0,6;Тип системы-источника (внешний);"1. NDA
2. Тип загрузки данных
3. Предусмотрено проведение конкурса
4. Форма договора";"— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1
— Форма договора: Стандартная→0.75; Нестандартная→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [NDA] × [Тип загрузки данных] × [Предусмотрено проведение конкурса] × [Форма договора]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Сбор и анализ требований;Опциональная;1;Тип системы-источника (внешний);"1. Тип загрузки данных
2. Предусмотрено проведение конкурса";"— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Подготовка АЗ для заключения NDA, согласование содержания NDA;Опциональная;0,6;Тип системы-источника (внешний);"1. NDA
2. Тип загрузки данных";"— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [NDA] × [Тип загрузки данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Согласование интеграции с ИБ и ЮБ;Опциональная;0,6;Тип системы-источника (внешний);1. Тип загрузки данных;"— Тип загрузки данных: Однократный→0.75; Регламентный→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Подготовка ТЗ для проведения соревновательной процедуры;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип загрузки данных
2. Предусмотрено проведение конкурса";"— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Анализ ТЗ по результатам отборочной процедуры;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип загрузки данных
2. Предусмотрено проведение конкурса";"— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Подготовка АЗ для договора, согласование содержания договора;Опциональная;0,7;Тип системы-источника (внешний);1. Тип загрузки данных;"— Тип загрузки данных: Однократный→0.75; Регламентный→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Подготовка приложения к договору;Опциональная;0,7;Тип системы-источника (внешний);1. Форма договора;"— Форма договора: Стандартная→0.75; Нестандартная→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Форма договора]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 216. Доработка внутренней документации и информационных ресурсов группы;Опциональная;0,8;Тип системы-источника (внешний);1. Тип загрузки данных;"— Тип загрузки данных: Однократный→0.75; Регламентный→1.25";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,8 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип работ
2. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
3. Способ предоставления данных заказчику
4. Наличие конфиденциальных данных
5. Требуется хэширование/ шифрование
6. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Планирование и работа с бэклогом;Опциональная;1,1;Тип системы-источника (внешний);"1. Тип работ
2. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
3. Способ предоставления данных заказчику
4. NDA
5. Наличие конфиденциальных данных
6. Требуется хэширование/ шифрование
7. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [NDA] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,1 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Сбор и анализ требований;Опциональная;1,2;Тип системы-источника (внешний);"1. Тип работ
2. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
3. Способ предоставления данных заказчику
4. Наличие конфиденциальных данных
5. Требуется хэширование/ шифрование
6. Двусторонний обмен данными";"— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1,2 чд.
Источники данных;Арх. Компонент. Процесс обработки данных;Этап 217. Оперативное обеспечение юридического основания или инициация этапа;Опциональная;0,6;Тип системы-источника (внешний);"1. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
2. Способ предоставления данных заказчику
3. Наличие конфиденциальных данных
4. Требуется хэширование/ шифрование
5. Двусторонний обмен данными";"— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
